# ЧТО ШАГ 1 ОБЯЗАН ВЫНУТЬ ИЗ ВОПРОСА — по одному ряду на вопрос приёмочного набора.
#
# Это разметка ВОПРОСА, а не базы: здесь записано, что сказано в тексте, и ничего о том,
# где лежат данные и как называется таблица. Поэтому ряд остаётся верным на любой базе,
# а проверять им можно только шаг 1.
#
# Разметку делал разработчик, читая вопрос, — другого источника у смысла нет. Спорные
# места помечены `*` (не проверяется), и таких мест немного: там, где вопрос допускает
# два честных прочтения, требование одного из них мерило бы вкус, а не работу.
#
# Колонки, через табуляцию:
#   no       номер вопроса в docs/ACCEPTANCE_UT.md
#   want     list | sum | count | *          что просят посчитать
#   terms    значения через запятую | - | *  что обязано стоять В САМОЙ записи; каждое
#                                            сверяется вхождением, число понятий — точно
#   period   from..to | - | ~ | *            ~ = период допустим, если помечен допущением
#   amount   op:value | - | *                порог из вопроса
#   measure  + | - | *                       названа ли в вопросе величина
#   kind     основы через | | - | *          о каких записях вопрос; сверка вхождением,
#                                            поэтому пишутся ОСНОВЫ («продаж», «закуп»)
no	want	terms	period	amount	measure	kind
1	sum	-	-	-	+	закуп|приобрет|поставк
2	sum	-	-	-	+	закуп|приобрет|платеж|оплат|поставк|ндс
3	sum	-	-	-	+	продаж|реализац|отгруз
4	sum	-	-	-	+	продаж|реализац
5	sum	-	-	-	+	продаж|реализац
6	sum	-	-	-	+	закуп|приобрет|поступл
7	list	-	-	-	+	продаж|реализац|цен
8	count	-	-	-	-	партн
9	count	-	-	-	-	контрагент
10	count	-	-	-	*	номенклатур|товар|позиц
11	count	-	-	-	-	организац
12	count	-	-	-	-	склад
13	count	-	-	-	*	реализац|продаж|документ
14	count	-	-	-	*	реализац|продаж|строк|товар
15	count	-	-	-	*	приобрет|закуп|документ
16	*	-	-	-	+	заказ
17	sum	-	-	-	*	закуп|приобрет
18	list	-	-	-	*	поставщик|партн|контрагент|поставк
19	sum	-	-	-	+	долг|задолж|клиент|расчет|расчёт|дебитор
20	sum	-	-	-	*	отгруз|реализац|продаж
21	sum	Ромашка	-	-	+	продаж|реализац
22	count	велосипед	-	-	*	продаж|реализац
23	sum	-	2022-01-01..2022-12-31	-	+	выручк|продаж|реализац|доход
24	count	ноутбук	-	-	*	продаж|реализац
25	count	-	-	-	*	анкет
26	count	-	-	-	*	товар|номенклатур
27	sum	-	-	-	+	-
28	sum	-	~	-	*	продаж|реализац
29	sum	-	-	-	+	приобрет|закуп
30	list	-	-	-	*	продаж|реализац
31	list	-	-	-	*	продаж|реализац
32	*	-	-	-	+	реализац|продаж|документ
33	sum	-	-	-	+	поступл|платеж|расчет|расчёт|банк|денеж
34	sum	-	-	-	+	списан|платеж|расчет|расчёт|банк|денеж
35	sum	-	2017-12-01..2017-12-31	-	*	продаж|реализац
36	sum	-	2016-01-01..2016-12-31	-	*	продаж|реализац
37	sum	-	2018-01-01..2018-12-31	-	*	продаж|реализац
38	list	-	-	-	*	продаж|реализац
39	list	-	-	-	*	документ
40	sum	Альтаир	-	-	*	продаж|реализац
41	list	Электротовар	-	-	*	закуп|приобрет
42	*	ADIDAS,кроссов	-	-	*	продаж|реализац
43	sum	BOSCH	-	-	+	продаж|реализац
44	list	Алмаз	-	-	*	контрагент
45	count	-	-	-	*	замер
46	count	-	-	-	*	рол|профил|доступ
47	count	-	-	-	*	*
48	*	-	-	-	+	закуп|запис|регистр
49	sum	-	-	-	+	товар|остат|склад|запас
50	list	евро	-	-	*	курс|валют
51	count	-	-	-	*	курс|валют
52	count	-	-	-	*	возврат
53	count	-	-	-	*	новост
54	list	-	-	-	*	сотрудник|физическ|физлиц|работник
55	count	-	-	=:0	+	реализац|продаж|документ
56	sum	-	-	-	*	продаж|реализац
57	sum	-	-	-	+	реализац|продаж
58	count	-	-	-	-	контрагент
