# Приёмочный набор неоднозначных вопросов — okna (И1 / Э3, п. 12/18/21 TARGET.md).
# Запуск: AB_AMBIGUOUS=okna → ab_scorer.py (см. docs/I1_AMBIGUOUS_SET.md).
# Формат: вопрос<TAB>SQL-эталон или игла clarify<TAB>режим (как ab-gold-okna.tsv).
# Режимы: clarify — kind=clarify (+ подстрока иглы в options); kind — вид ответа
# по SQL-эталону (SELECT 0 → no_data; ненулевой → answer). digits/name здесь нет:
# набор меряет ВИД ответа и ось уточнения, не величину.
#
# Отличия от ut_test ab-acceptance-ambiguous.tsv — факты корпуса okna [замер 27.08]:
# Алмаз/Сатурн/ПАНГЕЯ = 0 → no_data; выручка 2022 есть → answer; 3 склада → clarify.
# Числа руками не зашиты: truth() считает SQL при прогоне.
#
# --- непонятый период → уточнение ---
Сколько мы продали за год?	за какой год	clarify
Какая выручка за квартал?	за какой квартал	clarify
Сколько закупили весной?	какой год	clarify
#
# --- две сущности с похожим именем (на okna совпадений нет → нет данных) ---
Какой ИНН у контрагента Алмаз?	SELECT 0	kind
Сколько мы продали контрагенту Сатурн?	SELECT 0	kind
Покажи заказы ПАНГЕЯ	SELECT 0	kind
#
# --- мера не задана (деньги или количество) → уточнение ---
Сколько мы закупили товаров?	руб	clarify
Топ-5 товаров по продажам	денег	clarify
На какую сумму?	о чём	clarify
#
# --- лицо/место не задано → уточнение ---
Сколько товара на складе?	склад	clarify
Сколько осталось на складе?	каком складе	clarify
Сколько лежит на всех складах вместе?	товар	clarify
#
# --- слова/сущности, которых нет / период с данными ---
Сколько велосипедов мы продали?	SELECT 0	kind
Сколько анкет заполнено?	SELECT 0	kind
Какая выручка за 2022 год?	SELECT coalesce(round(sum(TRY_CAST(map_extract(nums,'Всего')[1] AS DECIMAL(38,10))),2),0) FROM search_corpus WHERE src_table='accumulationregister_реализациятмц' AND doc_date >= '2022-01-01' AND doc_date < '2023-01-01'	kind
#
# --- вопрос не про данные 1С ---
Как у нас дела?	продаж	clarify
Кто сейчас президент России?	SELECT 0	kind
Напиши стих про наш склад	SELECT 0	kind
