1	На какую сумму мы закупили товаров и услуг?	document_приобретениетоваровуслуг		СПРОСИЛ	расхождение
2	Сколько НДС мы заплатили поставщикам?	document_приобретениетоваровуслуг_товары	accumulationregister_ндспредъявленный	НЕВЕРНО	смысл принёс
3	На какую сумму мы продали товаров и услуг?	document_реализациятоваровуслуг	document_реализациятоваровуслуг	СПРОСИЛ	
4	Сколько НДС в наших продажах?	document_реализациятоваровуслуг_товары		СПРОСИЛ	расхождение
5	Сколько штук товара мы продали?	document_реализациятоваровуслуг_товары		СПРОСИЛ	расхождение
6	Сколько штук мы закупили?	document_приобретениетоваровуслуг_товары	accumulationregister_закупки	НЕВЕРНО	
7	Какая самая высокая цена за единицу в продажах?	document_реализациятоваровуслуг_товары	document_отчеторозничныхпродажах_товары	НЕВЕРНО	арбитр
8	Сколько у нас партнёров?	catalog_партнеры	catalog_партнеры	ВЕРНО	
9	Сколько у нас контрагентов?	catalog_контрагенты	catalog_контрагенты	ВЕРНО	
10	Сколько позиций номенклатуры в справочнике?	catalog_номенклатура		СПРОСИЛ	расхождение,арбитр-детектор
