1	На какую сумму мы закупили товаров и услуг?	document_приобретениетоваровуслуг	document_приобретениетоваровуслуг	СПРОСИЛ	
2	Сколько НДС мы заплатили поставщикам?	document_приобретениетоваровуслуг_товары	informationregister_подтверждениеоплатындсвбюджет	НЕВЕРНО	арбитр
3	На какую сумму мы продали товаров и услуг?	document_реализациятоваровуслуг	document_реализациятоваровуслуг	СПРОСИЛ	
4	Сколько НДС в наших продажах?	document_реализациятоваровуслуг_товары	accumulationregister_ндсзаписикнигипродаж	НЕВЕРНО	арбитр
5	Сколько штук товара мы продали?	document_реализациятоваровуслуг_товары	document_отчеторозничныхпродажах_товары	НЕВЕРНО	
6	Сколько штук мы закупили?	document_приобретениетоваровуслуг_товары		СПРОСИЛ	расхождение
7	Какая самая высокая цена за единицу в продажах?	document_реализациятоваровуслуг_товары	informationregister_ценыноменклатуры	НЕВЕРНО	арбитр
8	Сколько у нас партнёров?	catalog_партнеры		СПРОСИЛ	расхождение,арбитр-детектор
9	Сколько у нас контрагентов?	catalog_контрагенты		СПРОСИЛ	расхождение,арбитр-детектор
10	Сколько позиций номенклатуры в справочнике?	catalog_номенклатура	catalog_номенклатура	ВЕРНО	арбитр
11	Сколько у нас организаций?	catalog_организации		СПРОСИЛ	расхождение,арбитр-детектор
12	Сколько у нас складов?	catalog_склады		СПРОСИЛ	расхождение,арбитр-детектор
13	Сколько документов реализации товаров и услуг?	document_реализациятоваровуслуг	document_реализациятоваровуслуг	ВЕРНО	
14	Сколько строк товаров во всех документах реализации?	document_реализациятоваровуслуг_товары		СПРОСИЛ	расхождение,арбитр-детектор
15	Сколько документов приобретения товаров и услуг?	document_приобретениетоваровуслуг	document_приобретениетоваровуслуг	ВЕРНО	
16	Сколько заказов клиентов оформлено и на какую сумму?	document_заказклиента	accumulationregister_заказыклиентов	НЕВЕРНО	
17	Во что нам обошлись закупки?	document_приобретениетоваровуслуг	accumulationregister_закупки	НЕВЕРНО	
18	Кто нам поставляет товар?	catalog_партнеры		СПРОСИЛ	расхождение,арбитр-детектор
19	Сколько денег нам должны клиенты?	accumulationregister_расчетысклиентами	accumulationregister_расчетысклиентами	ВЕРНО	
20	Сколько мы отгрузили за всё время?	document_реализациятоваровуслуг	accumulationregister_расчетысклиентамипланотгрузок	НЕВЕРНО	арбитр
21	Сколько мы продали за год?	document_реализациятоваровуслуг		СПРОСИЛ	смысл принёс,выбор без опоры
22	Покажи сумму по приобретениям	document_приобретениетоваровуслуг		СПРОСИЛ	расхождение,арбитр-детектор
23	Какая самая крупная продажа и когда?	document_реализациятоваровуслуг	document_отчеторозничныхпродажах	НЕВЕРНО	арбитр
