1	На какую сумму мы закупили товаров и услуг?	document_приобретениетоваровуслуг		СПРОСИЛ	
2	Сколько НДС мы заплатили поставщикам?	document_приобретениетоваровуслуг_товары		УСЛОВНО	расхождение
3	На какую сумму мы продали товаров и услуг?	document_реализациятоваровуслуг		УСЛОВНО	
4	Сколько НДС в наших продажах?	document_реализациятоваровуслуг_товары		СПРОСИЛ	расхождение
5	Сколько штук товара мы продали?	document_реализациятоваровуслуг_товары		СПРОСИЛ	расхождение
6	Сколько штук мы закупили?	document_приобретениетоваровуслуг_товары		СПРОСИЛ	расхождение
7	Какая самая высокая цена за единицу в продажах?	document_реализациятоваровуслуг_товары		СПРОСИЛ	арбитр-детектор
8	Сколько у нас партнёров?	catalog_партнеры		СПРОСИЛ	
9	Сколько у нас контрагентов?	catalog_контрагенты		УСЛОВНО	расхождение
10	Сколько позиций номенклатуры в справочнике?	catalog_номенклатура		УСЛОВНО	
11	Сколько у нас организаций?	catalog_организации		СПРОСИЛ	
12	Сколько у нас складов?	catalog_склады		УСЛОВНО	
13	Сколько документов реализации товаров и услуг?	document_реализациятоваровуслуг		УСЛОВНО	
14	Сколько строк товаров во всех документах реализации?	document_реализациятоваровуслуг_товары		УСЛОВНО	расхождение
15	Сколько документов приобретения товаров и услуг?	document_приобретениетоваровуслуг		УСЛОВНО	
16	Сколько заказов клиентов оформлено и на какую сумму?	document_заказклиента		УСЛОВНО	
17	Во что нам обошлись закупки?	document_приобретениетоваровуслуг		СПРОСИЛ	
18	Кто нам поставляет товар?	catalog_партнеры		СПРОСИЛ	расхождение
19	Сколько денег нам должны клиенты?	accumulationregister_расчетысклиентами		СПРОСИЛ	расхождение
20	Сколько мы отгрузили за всё время?	document_реализациятоваровуслуг		СПРОСИЛ	расхождение
21	Сколько мы продали за год?	document_реализациятоваровуслуг	document_реализациятоваровуслуг	ВЕРНО	расхождение,смысл принёс
22	Покажи сумму по приобретениям	document_приобретениетоваровуслуг		УСЛОВНО	расхождение
23	Какая самая крупная продажа и когда?	document_реализациятоваровуслуг		СПРОСИЛ	
24	Какая самая маленькая продажа?	document_реализациятоваровуслуг		СПРОСИЛ	арбитр-детектор
25	Средняя сумма документа реализации?	document_реализациятоваровуслуг		СПРОСИЛ	расхождение
26	Сколько денег поступило на расчётный счёт?	document_поступлениебезналичныхденежныхсредств		СПРОСИЛ	расхождение
27	Сколько мы продали в декабре 2017 года?	document_реализациятоваровуслуг		СПРОСИЛ	расхождение,смысл принёс
28	Когда была последняя продажа?	document_реализациятоваровуслуг		СПРОСИЛ	расхождение
29	Сколько мы продали Альтаиру?	document_реализациятоваровуслуг		СПРОСИЛ	расхождение,смысл принёс,выбор без опоры
30	Что и на сколько мы закупали у Базы "Электротовары"?	document_приобретениетоваровуслуг		СПРОСИЛ	арбитр-детектор,смысл принёс
31	Сколько кроссовок ADIDAS мы продали?	document_реализациятоваровуслуг_товары		СПРОСИЛ	расхождение,смысл принёс,выбор без опоры
32	Какой ИНН у контрагента Алмаз?	catalog_контрагенты		СПРОСИЛ	арбитр-детектор,смысл принёс
33	Сколько записей замеров времени в базе?	informationregister_замерывремени		УСЛОВНО	
34	Сколько ролей роздано профилям групп доступа?	catalog_профилигруппдоступа_роли		УСЛОВНО	
35	Сколько записей в регистре закупок и на какую сумму?	accumulationregister_закупки		СПРОСИЛ	расхождение
36	Сколько товара сейчас на складах?	accumulationregister_товарынаскладах		УСЛОВНО	
37	Какой был самый высокий курс евро и когда?	informationregister_курсывалют	informationregister_курсывалют	ВЕРНО	смысл принёс
38	Сколько записей о курсах валют?	informationregister_курсывалют		УСЛОВНО	
39	Сколько было возвратов товаров от клиентов?	document_возвраттоваровотклиента		УСЛОВНО	расхождение
40	Сколько новостей в базе и о чём последняя?	catalog_новости		СПРОСИЛ	
41	У кого из сотрудников самая ранняя дата рождения?	catalog_физическиелица		СПРОСИЛ	расхождение,арбитр-детектор
42	Сколько документов реализации с нулевой суммой?	document_реализациятоваровуслуг		СПРОСИЛ	расхождение
43	скока мы всего продали?	document_реализациятоваровуслуг		СПРОСИЛ	расхождение
44	Сколько у нас контрагетов?	catalog_контрагенты		УСЛОВНО	расхождение
