1	На какую сумму мы закупили товаров и услуг?	document_приобретениетоваровуслуг		СПРОСИЛ	расхождение
2	Сколько НДС мы заплатили поставщикам?	document_приобретениетоваровуслуг_товары		СПРОСИЛ	расхождение,смысл принёс
3	На какую сумму мы продали товаров и услуг?	document_реализациятоваровуслуг	document_реализациятоваровуслуг	СПРОСИЛ	
4	Сколько НДС в наших продажах?	document_реализациятоваровуслуг_товары		СПРОСИЛ	расхождение
5	Сколько штук товара мы продали?	document_реализациятоваровуслуг_товары		СПРОСИЛ	расхождение
6	Сколько штук мы закупили?	document_приобретениетоваровуслуг_товары	accumulationregister_закупки	НЕВЕРНО	
7	Какая самая высокая цена за единицу в продажах?	document_реализациятоваровуслуг_товары		СПРОСИЛ	расхождение,арбитр-детектор
8	Сколько у нас партнёров?	catalog_партнеры	catalog_партнеры	ВЕРНО	
9	Сколько у нас контрагентов?	catalog_контрагенты	catalog_контрагенты	ВЕРНО	
10	Сколько позиций номенклатуры в справочнике?	catalog_номенклатура		СПРОСИЛ	расхождение,арбитр-детектор
11	Сколько у нас организаций?	catalog_организации	catalog_организации	ВЕРНО	
12	Сколько у нас складов?	catalog_склады		СПРОСИЛ	расхождение,арбитр-детектор
13	Сколько документов реализации товаров и услуг?	document_реализациятоваровуслуг	document_реализациятоваровуслуг	ВЕРНО	
14	Сколько строк товаров во всех документах реализации?	document_реализациятоваровуслуг_товары		СПРОСИЛ	расхождение,арбитр-детектор
15	Сколько документов приобретения товаров и услуг?	document_приобретениетоваровуслуг		СПРОСИЛ	расхождение,арбитр-детектор
16	Сколько заказов клиентов оформлено и на какую сумму?	document_заказклиента		СПРОСИЛ	расхождение,арбитр-детектор
17	Во что нам обошлись закупки?	document_приобретениетоваровуслуг	accumulationregister_закупки	НЕВЕРНО	
18	Кто нам поставляет товар?	catalog_партнеры	document_передачатоваровмеждуорганизациями_расшифровкаплатежаспоставщиком	НЕВЕРНО	арбитр
19	Сколько денег нам должны клиенты?	accumulationregister_расчетысклиентами		СПРОСИЛ	расхождение
20	Сколько мы отгрузили за всё время?	document_реализациятоваровуслуг		СПРОСИЛ	расхождение
21	Сколько мы продали за год?	document_реализациятоваровуслуг	document_отчеторозничныхпродажах	ОТКАЗ	смысл принёс
22	Покажи сумму по приобретениям	document_приобретениетоваровуслуг		ОТКАЗ	
23	Какая самая крупная продажа и когда?	document_реализациятоваровуслуг		СПРОСИЛ	расхождение,арбитр-детектор
