# Фикстура журнала для test_alias_candidates.py
# id	ts	outcome	q_text	atoms_json	clarify_json
1	2026-08-20 10:00:00	clarify	сколько петель осталось на складе?	[{"src":"catalog_номенклатура"}]	[{"src":"catalog_номенклатура","label":"номенклатура"}]
2	2026-08-20 11:00:00	no_data	сколько крепежа осталось на сегодня	[]	
3	2026-08-20 12:00:00	clarify	сколько товара на складе?		[{"src":"catalog_номенклатура","label":"товар"}]
4	2026-08-19 09:00:00	answer	сколько продали вчера?	[]	
5	2026-08-19 10:00:00	no_data	профиль весь распродали или что-то ещё лежит	[]	
6	2026-08-19 11:00:00	clarify	ручки есть в наличии сколько штук?	[{"src":"catalog_номенклатура"}]	
7	2026-08-18 08:00:00	no_data	сколько из клиентов реально покупают	[]	
8	2026-08-18 09:00:00	clarify	как у нас дела?		[{"src":"accumulationregister_реализациятмц"}]
9	2026-08-18 10:00:00	no_data	сколько петель осталось на складе?	[]	
10	2026-08-17 14:00:00	clarify	сколько позиций у нас в прайсе?	[{"src":"catalog_номенклатура"}]	
11	2026-08-17 15:00:00	no_data	что у нас совсем не продаётся в этом месяце	[]	
12	2026-08-17 16:00:00	clarify	сколько у нас петель осталось на складе	[{"src":"catalog_номенклатура"}]	
13	2026-08-16 12:00:00	no_data	сколько товара на складе сейчас	[]	
14	2026-08-16 13:00:00	clarify	дай топ по клиентам за месяц	[{"src":"catalog_контрагенты"}]	
15	2026-08-15 10:00:00	no_data	сколько клиентов реально покупают в этом месяце	[]	
